avg_rating,image,price,title,total_review
4,https://m.media-amazon.com/images/I/61VhREkPF5L._AC_SY300_SX300_.jpg,20.37,"Pooph Pet Odor Eliminator, 32oz Spray - Dismantles Odors on a Molecular Basis, Dogs, Cats, Freshener, Urine, Poop, Pee, Deodorizer, Natures, Puppy, Fresh, Clean, Furniture, Potty, Safe","23,236"
4.4,https://m.media-amazon.com/images/I/41pMUrAxDML._SX300_SY300_QL70_ML2_.jpg,10.35,"Vet's Best Dog Toothbrush & Enzymatic Toothpaste Kit - Dog Teeth Cleaning - Made with Natural Ingredients - Reduces Plaque, Whitens Teeth, Freshens Breath - Bonus Care Guide & Finger Brush Included","42,115"
4.5,https://m.media-amazon.com/images/I/71+i-J0vzPL._AC_SY300_SX300_.jpg,12.29,"Cat's Pride Max Power: Total Odor Control - Up to 10 Days of Powerful Odor Control - Strong Clumping - Hypoallergenic - 99% Dust Free - Multi-Cat Litter, Unscented, 15 Pounds","14,718"
4.6,https://m.media-amazon.com/images/I/51XbSqNqypL._SX300_SY300_QL70_ML2_.jpg,89.99,"COMOMY 36"" Extra Tall Baby Gate for Stairs Doorways, Fits Openings 29.5"" to 48.8"" Wide, Auto Close Extra Wide Dog Gate for House, Pressure Mounted Easy Walk Through Pet Gate with Door, Black","1,982"
4.6,https://m.media-amazon.com/images/I/612LUxA-mTL.__AC_SX300_SY300_QL70_ML2_.jpg,15.09,"PetSafe Replacement Pump for Pet Drinking Fountains, Compatible with PetSafe Drinkwell Ceramic, Stainless Steel and 360 Dog and Cat Water Dispensers - PAC00-13206, Black","9,717"
4.4,https://m.media-amazon.com/images/I/81BhZN8f9SL.__AC_SX300_SY300_QL70_ML2_.jpg,2.99,"Kaytee 5"" Clear Run-About Exercise Ball For Pet Dwarf Hamsters & Mice","20,601"
4.6,https://m.media-amazon.com/images/I/71V8VkRw8hL.__AC_SX300_SY300_QL70_ML2_.jpg,6.74,"BioSilk for Dogs Silk Therapy Whitening Shampoo | Best Brightening Dog Shampoo for White Dogs to Keep A Clean, White Coat, 12 Oz Shampoo Bottle for All Dogs","5,139"
4.3,https://m.media-amazon.com/images/I/71pcm16jcKL.__AC_SX300_SY300_QL70_ML2_.jpg,18.04,Simple Solution True Fit Disposable Dog Diapers for Female Dogs - Super Absorbent with Wetness Indicator - XXL (Waist 22-37in) - 30 Count,"2,659"
4.5,https://m.media-amazon.com/images/I/816skM0U9DL.__AC_SX300_SY300_QL70_ML2_.jpg,9.21,"Hyper Pet Flippy Flopper 9"" Flying Disc Soft Dog Toy, Floats in Water & Safe on Teeth, Pack of 2 (Colors May Vary)","14,510"
4.3,https://m.media-amazon.com/images/I/51a7bZqrPfL._SX300_SY300_QL70_ML2_.jpg,8.49,"Dog Paw Cleaner, Washer, Buddy Muddy Pet Foot Cleaner for Small Medium Large Breed Dogs/Cats (with 3 absorbent towel)","2,534"
