avg_rating,image,price,title,total_review
4.8,https://m.media-amazon.com/images/I/61PnHlc0HCL.__AC_SY445_SX342_QL70_ML2_.jpg,229.08,"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver","54,201"
4.6,https://m.media-amazon.com/images/I/61uA2UVnYWL.__AC_SX300_SY300_QL70_ML2_.jpg,379.00,"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Blue (Renewed)",201
4.6,https://m.media-amazon.com/images/I/51mV0IWAZwL.__AC_SX300_SY300_QL70_ML2_.jpg,245.00,"2021 Apple iPad (10.2-inch, Wi-Fi, 64GB) - Space Gray (Renewed)","1,481"
4.4,https://m.media-amazon.com/images/I/61kXsWp8PTS.__AC_SX300_SY300_QL70_ML2_.jpg,509.84,"Apple iPad Pro 12.9-inch, 3rd Generation - Wi-Fi, 256GB - Space Gray (Renewed)",791
3.8,https://m.media-amazon.com/images/I/61Ep+3Q8OiL._AC_SX300_SY300_.jpg,178.00,"Apple iPad Air 2 MH2N2LL/A (64GB, Wi-Fi + Cellular, Silver) (Renewed)",14
4.6,https://m.media-amazon.com/images/I/61hw0TH86iL.__AC_SY300_SX300_QL70_ML2_.jpg,210.00,"Apple iPad Pro 9.7-inch (128GB, Wi-Fi, Space Gray) 2016 Model - (Renewed)",446
4.2,https://m.media-amazon.com/images/I/81i8w9a-mAL.__AC_SX300_SY300_QL70_ML2_.jpg,339.97,Apple iPad Pro 12-inch - 128GB 4G - Silver (Renewed),185
4.5,https://m.media-amazon.com/images/I/71GAOoEmAVL.__AC_SX300_SY300_QL70_ML2_.jpg,119.99,"YESTEL 2023 Newest Android 13 Tablet 10 inch Tablet with 12GB RAM + 128GB ROM,1TB Expand,2.0GHz Octa-Core Processor,IPS HD Display,Support 5G WiFi,GPS,Bluetooth 5.0 with Keyboard,Mouse,Case - Red",133
4.2,https://m.media-amazon.com/images/I/711PUJF1UuL.__AC_SX300_SY300_QL70_ML2_.jpg,399.00,Apple iPad Pro 10.5in - 512GB Wifi - 2017 Model - ROSE GOLD (Renewed),58
4.4,https://m.media-amazon.com/images/I/31MguHOCNFL._QL70_ML2_.jpg,7.99,"Leather Pencil Holder for Apple iPad (2nd/1st Generation), Adjustable Pencil Case for iPad, Tablet Stylus Holder, Pencil Cover for Apple, Pencil Cover for Remarkable 2 (Vintage Brown)",12
